id_unico,base_origen,id_original,titulo,abstract,autores,año,revista_fuente,doi,idioma,tipo_documento,palabras_clave,url,texto_screening,titulo_normalizado,doi_limpio,tiene_doi,tiene_abstract,longitud_abstract,anio_valido_2021_2026,requiere_verificacion_anio,fila_anomala_si_no,notas_anomalia
REG_00120,Scopus,2-s2.0-85186425195,Effect of preschool teacher's math anxiety on teaching efficacy and classroom engagement in math,"Increasing number of studies have revealed that teacher's math anxiety is related to the use of less effective pedagogical practices, which can lead to reduced math achievement among elementary school students. Children's math experience begins before formal schooling. However, there is limited information about the effect of preschool teachers' math anxiety on math-related activities. In the current study, 209 in-service preschool teachers were recruited to explore the relationship between math anxiety and their involvement in math activities within the classroom. Our findings showed that preschool teachers with high levels of math anxiety reported feeling less comfortable teaching math, leading to reduced engagement in math-related activities and decreased interactions with their students. Building upon these insights, potential strategies are proposed to mitigate adverse effects of math anxiety among preschool teachers and cultivate a more positive learning environment for children. © 2024 Wiley Periodicals LLC.",Park J.; Ramirez G.; Park D.,2024,Psychology in the Schools,10.1002/pits.23182,,Article,classroom engagement; math anxiety; preschool education; teaching efficacy,https://www.scopus.com/pages/publications/85186425195?origin=resultslist,"Effect of preschool teacher's math anxiety on teaching efficacy and classroom engagement in math Increasing number of studies have revealed that teacher's math anxiety is related to the use of less effective pedagogical practices, which can lead to reduced math achievement among elementary school students. Children's math experience begins before formal schooling. However, there is limited information about the effect of preschool teachers' math anxiety on math-related activities. In the current study, 209 in-service preschool teachers were recruited to explore the relationship between math anxiety and their involvement in math activities within the classroom. Our findings showed that preschool teachers with high levels of math anxiety reported feeling less comfortable teaching math, leading to reduced engagement in math-related activities and decreased interactions with their students. Building upon these insights, potential strategies are proposed to mitigate adverse effects of math anxiety among preschool teachers and cultivate a more positive learning environment for children. © 2024 Wiley Periodicals LLC. classroom engagement; math anxiety; preschool education; teaching efficacy",effect of preschool teacher s math anxiety on teaching efficacy and classroom engagement in math,10.1002/pits.23182,sí,sí,1030,sí,no,no,
REG_00121,Scopus,2-s2.0-85107767771,Longitudinal relations between young students’ feelings about mathematics and arithmetic performance,"Math anxiety is a common correlate of math performance for adults. Research on young children's emotional reactions to math is limited, but critical for determining how math anxiety develops. Students (N = 244) completed math measures (i.e., number comparison, arithmetic fluency, and math problem solving) and math anxiety assessments twice, in grade 2 (Mage = 7.10) and a year later in grade 3. Math anxiety was significantly related to arithmetic fluency, but not to others. Longitudinally, arithmetic fluency in grade 2 predicted the change in math anxiety from grades 2 to 3, but not vice versa. The growth in math anxiety was related to arithmetic fluency for students with higher working memory scores, but this moderation effect of working memory was not significant after a multiple-comparisons correction. In sum, these findings are consistent with the view that math anxiety develops in some children in response to their experiences with mathematics. © 2021",Song C.S.; Xu C.; Maloney E.A.; Skwarchuk S.-L.; Di Lonardo Burr S.; Lafay A.; Wylie J.; Osana H.P.; Douglas H.; LeFevre J.-A.,2021,Cognitive Development,10.1016/j.cogdev.2021.101078,,Article,Arithmetic; Children; Cross-lagged analyses; Feelings about mathematics; Math anxiety; Working memory,https://www.scopus.com/pages/publications/85107767771?origin=resultslist,"Longitudinal relations between young students’ feelings about mathematics and arithmetic performance Math anxiety is a common correlate of math performance for adults. Research on young children's emotional reactions to math is limited, but critical for determining how math anxiety develops. Students (N = 244) completed math measures (i.e., number comparison, arithmetic fluency, and math problem solving) and math anxiety assessments twice, in grade 2 (Mage = 7.10) and a year later in grade 3. Math anxiety was significantly related to arithmetic fluency, but not to others. Longitudinally, arithmetic fluency in grade 2 predicted the change in math anxiety from grades 2 to 3, but not vice versa. The growth in math anxiety was related to arithmetic fluency for students with higher working memory scores, but this moderation effect of working memory was not significant after a multiple-comparisons correction. In sum, these findings are consistent with the view that math anxiety develops in some children in response to their experiences with mathematics. © 2021 Arithmetic; Children; Cross-lagged analyses; Feelings about mathematics; Math anxiety; Working memory",longitudinal relations between young students feelings about mathematics and arithmetic performance,10.1016/j.cogdev.2021.101078,sí,sí,969,sí,no,no,
REG_00122,Scopus,2-s2.0-105029392105,GMATS: Graphology-Enhanced Math Affective Tutoring System to Support Students with Math Anxiety,"This article introduces GMATS, a novel Affective Tutoring System (ATS) that employs graphology to recognize emotions through handwriting in an unobtrusive way in e-learning environments. Designed for touchscreen tablets, the system integrates an instructional module with online handwriting recognition and emotion detection units to identify students’ stress without specialized hardware. GMATS specifically addresses mathematics anxiety and academic stress, factors often neglected in prior ATSs, by incorporating adaptive coping strategies to support learners effectively. To examine the system’s performance, GMATS was evaluated against another version without the stress detection module and also compared to human teachers. A total of 45 middle school students with math anxiety participated in the study. Results showed that the stress recognition module achieved 95.5% accuracy. Moreover, GMATS significantly outperformed the alternative version in enhancing academic achievement. No significant correlation was observed between GMATS outcomes and teacher-based results, underscoring its unique potential in affective education. © 2026 Taylor & Francis Group, LLC.",Parvizi A.; Kazemifard M.; Imani Z.; Kheyrialmousavi S.; Karami J.,2026,International Journal of Human-Computer Interaction,10.1080/10447318.2026.2618559,,Article,Affective Tutoring System; graphology; handwritten recognition; mathematics achievement; stress detection; Computer aided instruction; E-learning; Education computing; Stress measurement; Teaching; Touch screens; Affective tutoring systems; E-learning environment; Emotion detection; Graphology; Handwritten recognition; Instructional modules; Mathematic achievement; Online handwriting recognition; Stress detection; Student stress; Students,https://www.scopus.com/pages/publications/105029392105?origin=resultslist,"GMATS: Graphology-Enhanced Math Affective Tutoring System to Support Students with Math Anxiety This article introduces GMATS, a novel Affective Tutoring System (ATS) that employs graphology to recognize emotions through handwriting in an unobtrusive way in e-learning environments. Designed for touchscreen tablets, the system integrates an instructional module with online handwriting recognition and emotion detection units to identify students’ stress without specialized hardware. GMATS specifically addresses mathematics anxiety and academic stress, factors often neglected in prior ATSs, by incorporating adaptive coping strategies to support learners effectively. To examine the system’s performance, GMATS was evaluated against another version without the stress detection module and also compared to human teachers. A total of 45 middle school students with math anxiety participated in the study. Results showed that the stress recognition module achieved 95.5% accuracy. Moreover, GMATS significantly outperformed the alternative version in enhancing academic achievement. No significant correlation was observed between GMATS outcomes and teacher-based results, underscoring its unique potential in affective education. © 2026 Taylor & Francis Group, LLC. Affective Tutoring System; graphology; handwritten recognition; mathematics achievement; stress detection; Computer aided instruction; E-learning; Education computing; Stress measurement; Teaching; Touch screens; Affective tutoring systems; E-learning environment; Emotion detection; Graphology; Handwritten recognition; Instructional modules; Mathematic achievement; Online handwriting recognition; Stress detection; Student stress; Students",gmats graphology enhanced math affective tutoring system to support students with math anxiety,10.1080/10447318.2026.2618559,sí,sí,1172,sí,no,no,
REG_00123,Scopus,2-s2.0-85164774912,Building the Parent and Child Math Anxiety Network model from empirical evidence,"Math achievement is one of the strongest predictors of academic success and career attainment. While research has focused on cognitive factors that relate to math achievement, a growing body of literature suggests that affective factors like math anxiety also relate to math achievement. The field of math anxiety has expanded to recognize that not only children's but also parents' math anxiety is related to math performance. Yet, specific mechanisms through which parents' math anxiety relates to children's math performance are not well explicated. In this article, we synthesize research on the relation between parents' math anxiety and children's math achievement, and then propose a comprehensive model (the Parent and Child Math Anxiety Network model) to demonstrate the likely pathways through which parents' math anxiety may affect children's math achievement. © 2023 The Authors. Child Development Perspectives © 2023 Society for Research in Child Development.",Carkoglu C.; Eason S.H.; Purpura D.,2023,Child Development Perspectives,10.1111/cdep.12484,,Article,math achievement; math anxiety; parent–child math interactions; academic success; animal experiment; animal model; article; career; female; human; male; math anxiety; mental capacity; nonhuman,https://www.scopus.com/pages/publications/85164774912?origin=resultslist,"Building the Parent and Child Math Anxiety Network model from empirical evidence Math achievement is one of the strongest predictors of academic success and career attainment. While research has focused on cognitive factors that relate to math achievement, a growing body of literature suggests that affective factors like math anxiety also relate to math achievement. The field of math anxiety has expanded to recognize that not only children's but also parents' math anxiety is related to math performance. Yet, specific mechanisms through which parents' math anxiety relates to children's math performance are not well explicated. In this article, we synthesize research on the relation between parents' math anxiety and children's math achievement, and then propose a comprehensive model (the Parent and Child Math Anxiety Network model) to demonstrate the likely pathways through which parents' math anxiety may affect children's math achievement. © 2023 The Authors. Child Development Perspectives © 2023 Society for Research in Child Development. math achievement; math anxiety; parent–child math interactions; academic success; animal experiment; animal model; article; career; female; human; male; math anxiety; mental capacity; nonhuman",building the parent and child math anxiety network model from empirical evidence,10.1111/cdep.12484,sí,sí,972,sí,no,no,
REG_00124,Scopus,2-s2.0-85189810317,Inhibitory Control Training for Anxiety and Math Achievement in Primary School Children: Protocol for a Proof-of-Concept Study,"Background: Cognitive control training (CCT) has shown potential to reduce emotional vulnerability in adults and adolescents. However, there is scant literature testing the efficacy of CCT for the reduction of anxiety and transferring the effects to educational outcomes in children. Building on the evidence that a greater ability to suppress a prepotent response (inhibitory control) is associated with higher math achievement in children, it is plausible that training inhibitory processes using a CCT paradigm may be beneficial for reducing anxiety, improving inhibitory control, and in turn increasing math achievement. Objective: This proof-of-concept study aims to investigate the efficacy of 15 sessions of inhibitory control training for reduction in anxiety and improvement in math achievement in primary school children. Methods: We will use a 2 (group: CCT, adaptive Go/No-Go vs active control, low-load task) multiplied by 4 (time: pre- vs posttraining vs 1-month vs 3-month follow-up) randomized design in a nonselected sample of 100 children aged 8-10 years. Both groups will complete 10 minutes of daily training for 3 weeks at school. The dependent variables will be anxiety and correlates (Spence Children's Anxiety Scale, Penn State Worry Questionnaire for Children, Revised Children's Anxiety and Depression Scale, Child Response Style Questionnaire, and Modified Abbreviated Math Anxiety Scale), inhibitory control (Go/No-Go task), shifting (color-shape shifting task), updating (n-back task), and math achievement (Applied Problems, Calculation, and Math Facts Fluency subtests from the Woodcock-Johnson IV Tests of Achievement). Results: We opened enrollment in September 2023. The initial results are expected to be published in late 2024. We predict that children in the CCT group will show a reduction in emotional symptoms; improvements in inhibition, shifting, and updating performance; and advances in math achievement from pre- to posttraining, and that these effects will be maintained at 1- and 3-month follow-ups, compared to children in the active control group. Conclusions: The CCT paradigm used in our study will provide a greater understanding of the emotional and cognitive transfer effects on children and inform future work. Specifically, the findings will advance the knowledge of deploying inhibitory control training with children and provide valuable insights into its use for reducing anxiety and advancing math achievement. © 2024 JMIR Publications Inc.. All rights reserved.",Edwards E.; Chu K.L.; Carroll A.,2024,JMIR Research Protocols,10.2196/52929,,Article,anxiety; cognitive control training; inhibitory control; math achievement,https://www.scopus.com/pages/publications/85189810317?origin=resultslist,"Inhibitory Control Training for Anxiety and Math Achievement in Primary School Children: Protocol for a Proof-of-Concept Study Background: Cognitive control training (CCT) has shown potential to reduce emotional vulnerability in adults and adolescents. However, there is scant literature testing the efficacy of CCT for the reduction of anxiety and transferring the effects to educational outcomes in children. Building on the evidence that a greater ability to suppress a prepotent response (inhibitory control) is associated with higher math achievement in children, it is plausible that training inhibitory processes using a CCT paradigm may be beneficial for reducing anxiety, improving inhibitory control, and in turn increasing math achievement. Objective: This proof-of-concept study aims to investigate the efficacy of 15 sessions of inhibitory control training for reduction in anxiety and improvement in math achievement in primary school children. Methods: We will use a 2 (group: CCT, adaptive Go/No-Go vs active control, low-load task) multiplied by 4 (time: pre- vs posttraining vs 1-month vs 3-month follow-up) randomized design in a nonselected sample of 100 children aged 8-10 years. Both groups will complete 10 minutes of daily training for 3 weeks at school. The dependent variables will be anxiety and correlates (Spence Children's Anxiety Scale, Penn State Worry Questionnaire for Children, Revised Children's Anxiety and Depression Scale, Child Response Style Questionnaire, and Modified Abbreviated Math Anxiety Scale), inhibitory control (Go/No-Go task), shifting (color-shape shifting task), updating (n-back task), and math achievement (Applied Problems, Calculation, and Math Facts Fluency subtests from the Woodcock-Johnson IV Tests of Achievement). Results: We opened enrollment in September 2023. The initial results are expected to be published in late 2024. We predict that children in the CCT group will show a reduction in emotional symptoms; improvements in inhibition, shifting, and updating performance; and advances in math achievement from pre- to posttraining, and that these effects will be maintained at 1- and 3-month follow-ups, compared to children in the active control group. Conclusions: The CCT paradigm used in our study will provide a greater understanding of the emotional and cognitive transfer effects on children and inform future work. Specifically, the findings will advance the knowledge of deploying inhibitory control training with children and provide valuable insights into its use for reducing anxiety and advancing math achievement. © 2024 JMIR Publications Inc.. All rights reserved. anxiety; cognitive control training; inhibitory control; math achievement",inhibitory control training for anxiety and math achievement in primary school children protocol for a proof of concept study,10.2196/52929,sí,sí,2522,sí,no,no,
REG_00125,Scopus,2-s2.0-105038019981,Unraveling the Finnish Paradox: chain mediation pathways of mindset and support fail to explain girls’ superior mathematics achievement based on PISA 2022,"In the Finnish low-stress and highly equitable education system, girls’ math performance is significantly superior to that of boys. This advantage cannot be explained by common psychological mediating variables such as support from math teachers, growth mindset, or mathematics anxiety—although these factors are usually regarded as key mechanisms in prior research contexts. Using data from Finnish 15-year-old students participating in PISA 2022 (N = 10,239; 4995 girls and 5244 boys), this study employed path analysis within a structural equation modeling framework based on the Control-Value Theory and the Growth Mindset Theory. The results indicated that mathematics anxiety remained the strongest predictor of mathematics performance (β = − 0.281, p <.05), and a significant chain mediation pathway was identified from gender to achievement (gender → teacher support → growth mindset → mathematics anxiety → achievement). However, these psychological paths all point to the relative advantage of boys, but failed to explain the actual lead of girls’ mathematics achievement. The analysis showed that mathematics teacher support did not mediate the association between socioeconomic status and achievement, and the predictive effect of growth mindset was relatively small in this sample. This study contributes to understanding gender and socioeconomic differences in mathematics achievement within the Finnish educational context by examining the mediating roles of mathematics teacher support, growth mindset, and mathematics anxiety. © Instituto Universitário de Ciências Psicológicas, Sociais e da Vida 2026.",Huang M.,2026,European Journal of Psychology of Education,10.1007/s10212-026-01120-2,,Article,Finnish education system; Gender differences; Growth mindset; Mathematics achievement; Mathematics anxiety; Mathematics teacher support; PISA 2022,https://www.scopus.com/pages/publications/105038019981?origin=resultslist,"Unraveling the Finnish Paradox: chain mediation pathways of mindset and support fail to explain girls’ superior mathematics achievement based on PISA 2022 In the Finnish low-stress and highly equitable education system, girls’ math performance is significantly superior to that of boys. This advantage cannot be explained by common psychological mediating variables such as support from math teachers, growth mindset, or mathematics anxiety—although these factors are usually regarded as key mechanisms in prior research contexts. Using data from Finnish 15-year-old students participating in PISA 2022 (N = 10,239; 4995 girls and 5244 boys), this study employed path analysis within a structural equation modeling framework based on the Control-Value Theory and the Growth Mindset Theory. The results indicated that mathematics anxiety remained the strongest predictor of mathematics performance (β = − 0.281, p <.05), and a significant chain mediation pathway was identified from gender to achievement (gender → teacher support → growth mindset → mathematics anxiety → achievement). However, these psychological paths all point to the relative advantage of boys, but failed to explain the actual lead of girls’ mathematics achievement. The analysis showed that mathematics teacher support did not mediate the association between socioeconomic status and achievement, and the predictive effect of growth mindset was relatively small in this sample. This study contributes to understanding gender and socioeconomic differences in mathematics achievement within the Finnish educational context by examining the mediating roles of mathematics teacher support, growth mindset, and mathematics anxiety. © Instituto Universitário de Ciências Psicológicas, Sociais e da Vida 2026. Finnish education system; Gender differences; Growth mindset; Mathematics achievement; Mathematics anxiety; Mathematics teacher support; PISA 2022",unraveling the finnish paradox chain mediation pathways of mindset and support fail to explain girls superior mathematics achievement based on pisa 2022,10.1007/s10212-026-01120-2,sí,sí,1619,sí,no,no,
REG_00126,Scopus,2-s2.0-85136621436,Perceptions of Teaching Approach and Academic Performance among Senior Two Students in Musanze: Mediating Role of Mathematics Anxiety and Career Aspiration,"This empirical study sought to examine gender differences and the relationships between students’ perceptions of mathematics teaching, mathematics anxiety, career aspirations, and academic performance. The study utilized the descriptive-correlational research design coupled with the quantitative data collection process, i.e., a survey questionnaire. We deliberately sampled six lower secondary schools in Musanze district to participate in the study. A total of 415 (60 % males) senior two students (grade 8) were involved in the study. Data were analyzed using an independent sample t-test and structural equation modeling. Students’ perceptions of the teaching approach significantly influenced career aspirations, mathematics anxiety, and performances. In addition, mathematics anxiety affected the relationship between students’ perceptions of the teaching approach and performance and career aspirations. Although girls’ mathematics anxiety, mathematics performance, and perceptions of the teaching approach were higher than boys’, the differences were not statistically significant. The findings of this study revealed that students’ perceptions of the teaching approach influence their mathematics performance, mathematics anxiety, and career aspirations. Therefore, any intervention aimed at reducing mathematics anxiety and improving academic performance and career aspirations in Mathematics should consider students’ perceptions of the teaching approach. ©Authors This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License (CC BY-NC-ND 4.0).",Iyamuremye E.; Ndayambaje I.; Muwonge C.M.,2022,"International Journal of Learning, Teaching and Educational Research",10.26803/ijlter.21.7.6,,Article,career aspiration; mathematics anxiety; structural equation modeling; students’ perception; teaching approach,https://www.scopus.com/pages/publications/85136621436?origin=resultslist,"Perceptions of Teaching Approach and Academic Performance among Senior Two Students in Musanze: Mediating Role of Mathematics Anxiety and Career Aspiration This empirical study sought to examine gender differences and the relationships between students’ perceptions of mathematics teaching, mathematics anxiety, career aspirations, and academic performance. The study utilized the descriptive-correlational research design coupled with the quantitative data collection process, i.e., a survey questionnaire. We deliberately sampled six lower secondary schools in Musanze district to participate in the study. A total of 415 (60 % males) senior two students (grade 8) were involved in the study. Data were analyzed using an independent sample t-test and structural equation modeling. Students’ perceptions of the teaching approach significantly influenced career aspirations, mathematics anxiety, and performances. In addition, mathematics anxiety affected the relationship between students’ perceptions of the teaching approach and performance and career aspirations. Although girls’ mathematics anxiety, mathematics performance, and perceptions of the teaching approach were higher than boys’, the differences were not statistically significant. The findings of this study revealed that students’ perceptions of the teaching approach influence their mathematics performance, mathematics anxiety, and career aspirations. Therefore, any intervention aimed at reducing mathematics anxiety and improving academic performance and career aspirations in Mathematics should consider students’ perceptions of the teaching approach. ©Authors This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License (CC BY-NC-ND 4.0). career aspiration; mathematics anxiety; structural equation modeling; students’ perception; teaching approach",perceptions of teaching approach and academic performance among senior two students in musanze mediating role of mathematics anxiety and career aspiration,10.26803/ijlter.21.7.6,sí,sí,1608,sí,no,no,
REG_00127,Scopus,2-s2.0-86000645920,"Learning engagement as moderator between self-efficacy, math anxiety, use of diagrams, and complex plane problem-solving","Previous research has shown that affect and heuristics influence mathematical problem-solving, but how learning engagement contributes to this process has yet to be thoroughly investigated statistically. This study examines whether learning engagement moderates the relationship between self-efficacy, math anxiety, use of diagrams, and complex plane problem-solving performance. This questionnaire-based survey involved 240 Japanese 11th-grade high school students. The results of the multiple-group structural equation modelling revealed that (1) self-efficacy was positively related to the use of diagrams and, directly and indirectly, positively associated with complex plane problem-solving performance despite learning engagement; (2) math learning anxiety was positively related to the use of diagrams and indirectly positively associated with complex plane problem-solving performance at higher levels of learning engagement; and (3) the use of diagrams was positively related to complex plane problem-solving performance despite learning engagement. The findings suggest that learning engagement moderates the associations between affect, heuristics and mathematical problem-solving. © 2025 by the authors; licensee Modestum. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/).",Shimizu Y.,2025,"Eurasia Journal of Mathematics, Science and Technology Education",10.29333/EJMSTE/15956,,Article,complex plane problem-solving; learning engagement; math anxiety; self-efficacy; use of diagrams,https://www.scopus.com/pages/publications/86000645920?origin=resultslist,"Learning engagement as moderator between self-efficacy, math anxiety, use of diagrams, and complex plane problem-solving Previous research has shown that affect and heuristics influence mathematical problem-solving, but how learning engagement contributes to this process has yet to be thoroughly investigated statistically. This study examines whether learning engagement moderates the relationship between self-efficacy, math anxiety, use of diagrams, and complex plane problem-solving performance. This questionnaire-based survey involved 240 Japanese 11th-grade high school students. The results of the multiple-group structural equation modelling revealed that (1) self-efficacy was positively related to the use of diagrams and, directly and indirectly, positively associated with complex plane problem-solving performance despite learning engagement; (2) math learning anxiety was positively related to the use of diagrams and indirectly positively associated with complex plane problem-solving performance at higher levels of learning engagement; and (3) the use of diagrams was positively related to complex plane problem-solving performance despite learning engagement. The findings suggest that learning engagement moderates the associations between affect, heuristics and mathematical problem-solving. © 2025 by the authors; licensee Modestum. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/). complex plane problem-solving; learning engagement; math anxiety; self-efficacy; use of diagrams",learning engagement as moderator between self efficacy math anxiety use of diagrams and complex plane problem solving,10.29333/ejmste/15956,sí,sí,1407,sí,no,no,
REG_00128,Scopus,2-s2.0-105038009708,Domain‐specific and -general factors involved on mathematical performance: similarities and differences between elementary school stages,"Mathematical performance is crucial throughout students’ academic experiences. Given its significance, researchers have examined which domain-specific and domain-general factors are related to math performance. However, most studies have primarily focused on analyzing these factors separately rather than in conjunction and considered elementary school years as a continuum, without exploring the potential differences between students at the first (1st–3rd grades) and second (4th–6th grades) stages of education. The present study aimed to analyze the influence of domain-specific and domain-general factors on mathematical performance comparing 1st–3rd graders vs 4th–6th graders. The sample comprised 282 schoolchildren (140 boys, 142 girls) aged between 6 and 12 years (M = 8.75, SD = 1.94). Paper-and-pencil and computer tasks were administered to schoolchildren to measure their domain-specific factors (numerical processing, math anxiety) and domain-general factors (non-verbal intelligence, working memory, inhibitory control; effortful control was reported by their families), whereas mathematical performance was informed by teachers at the end of the academic year. Results showed that child’s age, numerical processing, numerical processing anxiety factor, and non-verbal intelligence were related to mathematical performance across elementary school years, whereas numerical processing anxiety factor was the most powerful predictor for the first elementary stage (1st–3rd grades), and numerical processing for the second elementary stage (4th–6th grades). Moreover, educational stage was found not to moderate the relationship between domain-specific and domain-general factors and mathematical performance, suggesting that the developmental stage exerts a direct contribution, rather than a moderation effect, on mathematical performance. © The Author(s) 2026.",Vicente-García C.; López-Crespo G.; Sánchez-Pérez N.,2026,European Journal of Psychology of Education,10.1007/s10212-026-01090-5,,Article,Childhood; Domain-general factors; Domain‐specific factors; Mathematical performance,https://www.scopus.com/pages/publications/105038009708?origin=resultslist,"Domain‐specific and -general factors involved on mathematical performance: similarities and differences between elementary school stages Mathematical performance is crucial throughout students’ academic experiences. Given its significance, researchers have examined which domain-specific and domain-general factors are related to math performance. However, most studies have primarily focused on analyzing these factors separately rather than in conjunction and considered elementary school years as a continuum, without exploring the potential differences between students at the first (1st–3rd grades) and second (4th–6th grades) stages of education. The present study aimed to analyze the influence of domain-specific and domain-general factors on mathematical performance comparing 1st–3rd graders vs 4th–6th graders. The sample comprised 282 schoolchildren (140 boys, 142 girls) aged between 6 and 12 years (M = 8.75, SD = 1.94). Paper-and-pencil and computer tasks were administered to schoolchildren to measure their domain-specific factors (numerical processing, math anxiety) and domain-general factors (non-verbal intelligence, working memory, inhibitory control; effortful control was reported by their families), whereas mathematical performance was informed by teachers at the end of the academic year. Results showed that child’s age, numerical processing, numerical processing anxiety factor, and non-verbal intelligence were related to mathematical performance across elementary school years, whereas numerical processing anxiety factor was the most powerful predictor for the first elementary stage (1st–3rd grades), and numerical processing for the second elementary stage (4th–6th grades). Moreover, educational stage was found not to moderate the relationship between domain-specific and domain-general factors and mathematical performance, suggesting that the developmental stage exerts a direct contribution, rather than a moderation effect, on mathematical performance. © The Author(s) 2026. Childhood; Domain-general factors; Domain‐specific factors; Mathematical performance",domain specific and general factors involved on mathematical performance similarities and differences between elementary school stages,10.1007/s10212-026-01090-5,sí,sí,1877,sí,no,no,
REG_00129,Scopus,2-s2.0-105015223181,Parent math anxiety and children's math success: The role of autonomy-supportive and controlling parenting behaviors,"Existing research highlights that parents’ math anxiety is a predictor of children's math achievement and math anxiety. However, more research is needed to understand how this transmission occurs. This study examined the transmission of parents’ math anxiety to children's math achievement and math anxiety via autonomy-supportive and controlling parenting behaviors using an observational coding scheme during a homework help task. The sample of 175 parent–child dyads was followed longitudinally from when children were in second grade (Mage = 8.02) to third grade (Mage = 9.18). Results indicated that higher levels of parents’ math anxiety were associated with more controlling parenting behaviors during the homework help task. Autonomy-supportive parenting behaviors were uniquely associated with higher math achievement in children one year later, whereas controlling parenting behaviors were associated with lower math achievement. Further, parents’ own math achievement was positively associated with autonomy-supportive parenting behaviors and children's math achievement. However, neither parents’ math anxiety, math achievement, nor parenting behaviors were significantly associated with children's math anxiety a year later. Overall, this study underscores the importance of parents’ math anxiety and math achievement for their parenting behaviors and demonstrates that controlling parenting behaviors can undermine children's math achievement. © 2025 Elsevier Inc.",Akhavein K.; Finch J.E.,2025,Contemporary Educational Psychology,10.1016/j.cedpsych.2025.102405,,Article,Autonomy-supportive parenting; Controlling parenting; Math achievement; Math anxiety; Parenting,https://www.scopus.com/pages/publications/105015223181?origin=resultslist,"Parent math anxiety and children's math success: The role of autonomy-supportive and controlling parenting behaviors Existing research highlights that parents’ math anxiety is a predictor of children's math achievement and math anxiety. However, more research is needed to understand how this transmission occurs. This study examined the transmission of parents’ math anxiety to children's math achievement and math anxiety via autonomy-supportive and controlling parenting behaviors using an observational coding scheme during a homework help task. The sample of 175 parent–child dyads was followed longitudinally from when children were in second grade (Mage = 8.02) to third grade (Mage = 9.18). Results indicated that higher levels of parents’ math anxiety were associated with more controlling parenting behaviors during the homework help task. Autonomy-supportive parenting behaviors were uniquely associated with higher math achievement in children one year later, whereas controlling parenting behaviors were associated with lower math achievement. Further, parents’ own math achievement was positively associated with autonomy-supportive parenting behaviors and children's math achievement. However, neither parents’ math anxiety, math achievement, nor parenting behaviors were significantly associated with children's math anxiety a year later. Overall, this study underscores the importance of parents’ math anxiety and math achievement for their parenting behaviors and demonstrates that controlling parenting behaviors can undermine children's math achievement. © 2025 Elsevier Inc. Autonomy-supportive parenting; Controlling parenting; Math achievement; Math anxiety; Parenting",parent math anxiety and children s math success the role of autonomy supportive and controlling parenting behaviors,10.1016/j.cedpsych.2025.102405,sí,sí,1478,sí,no,no,
